file	endpoint	host	port	resolved_ip	ping_ms	nmap_open_udp
us-dal-wg-506.conf	206.217.206.4:51820	206.217.206.4	51820	206.217.206.4	280	-
us-dal-wg-507.conf	206.217.206.16:51820	206.217.206.16	51820	206.217.206.16	202	-
us-dal-wg-601.conf	103.102.246.3:51820	103.102.246.3	51820	103.102.246.3	191	-
us-dal-wg-602.conf	103.102.246.127:51820	103.102.246.127	51820	103.102.246.127	293	-
us-dal-wg-603.conf	103.102.247.3:51820	103.102.247.3	51820	103.102.247.3	193	-
us-dal-wg-604.conf	103.102.247.127:51820	103.102.247.127	51820	103.102.247.127	190	-
us-den-wg-101.conf	37.19.210.1:51820	37.19.210.1	51820	37.19.210.1	191	-
us-den-wg-102.conf	37.19.210.14:51820	37.19.210.14	51820	37.19.210.14	191	-
us-den-wg-103.conf	37.19.210.27:51820	37.19.210.27	51820	37.19.210.27	293	-
us-den-wg-201.conf	23.234.68.2:51820	23.234.68.2	51820	23.234.68.2	296	-
us-den-wg-202.conf	23.234.68.127:51820	23.234.68.127	51820	23.234.68.127	293	-
us-den-wg-203.conf	23.234.69.2:51820	23.234.69.2	51820	23.234.69.2	293	-
us-den-wg-204.conf	23.234.69.127:51820	23.234.69.127	51820	23.234.69.127	209	-
us-den-wg-205.conf	23.234.70.2:51820	23.234.70.2	51820	23.234.70.2	274	-
us-den-wg-206.conf	23.234.70.127:51820	23.234.70.127	51820	23.234.70.127	241	-
us-den-wg-207.conf	23.234.71.2:51820	23.234.71.2	51820	23.234.71.2	243	-
us-den-wg-208.conf	23.234.71.127:51820	23.234.71.127	51820	23.234.71.127	293	-
us-hou-wg-001.conf	37.19.221.130:51820	37.19.221.130	51820	37.19.221.130	190	-
us-hou-wg-002.conf	37.19.221.143:51820	37.19.221.143	51820	37.19.221.143	190	-
us-hou-wg-003.conf	37.19.221.156:51820	37.19.221.156	51820	37.19.221.156	191	-
us-hou-wg-004.conf	37.19.221.169:51820	37.19.221.169	51820	37.19.221.169	190	-
us-lax-wg-101.conf	198.44.129.98:51820	198.44.129.98	51820	198.44.129.98	294	-
us-lax-wg-102.conf	198.44.129.66:51820	198.44.129.66	51820	198.44.129.66	293	-
us-lax-wg-103.conf	198.44.129.34:51820	198.44.129.34	51820	198.44.129.34	214	-
us-lax-wg-201.conf	169.150.203.2:51820	169.150.203.2	51820	169.150.203.2	233	-
us-lax-wg-202.conf	169.150.203.15:51820	169.150.203.15	51820	169.150.203.15	329	-
us-lax-wg-203.conf	169.150.203.28:51820	169.150.203.28	51820	169.150.203.28	293	-
us-lax-wg-402.conf	146.70.173.66:51820	146.70.173.66	51820	146.70.173.66	208	-
us-lax-wg-403.conf	146.70.173.130:51820	146.70.173.130	51820	146.70.173.130	276	-
us-lax-wg-404.conf	146.70.173.194:51820	146.70.173.194	51820	146.70.173.194	294	-
us-lax-wg-405.conf	146.70.172.2:51820	146.70.172.2	51820	146.70.172.2	293	-
us-lax-wg-406.conf	146.70.174.2:51820	146.70.174.2	51820	146.70.174.2	293	-
us-lax-wg-407.conf	146.70.172.66:51820	146.70.172.66	51820	146.70.172.66	207	-
us-lax-wg-408.conf	146.70.172.130:51820	146.70.172.130	51820	146.70.172.130	277	-
us-lax-wg-409.conf	146.70.172.194:51820	146.70.172.194	51820	146.70.172.194	293	-
us-lax-wg-601.conf	23.162.40.3:51820	23.162.40.3	51820	23.162.40.3	293	-
us-lax-wg-602.conf	23.162.40.127:51820	23.162.40.127	51820	23.162.40.127	293	-
us-lax-wg-603.conf	23.159.216.3:51820	23.159.216.3	51820	23.159.216.3	202	-
us-lax-wg-604.conf	23.159.216.127:51820	23.159.216.127	51820	23.159.216.127	219	-
us-lax-wg-605.conf	23.160.24.3:51820	23.160.24.3	51820	23.160.24.3	253	-
us-lax-wg-606.conf	23.160.24.127:51820	23.160.24.127	51820	23.160.24.127	205	-
us-lax-wg-607.conf	23.168.216.3:51820	23.168.216.3	51820	23.168.216.3	278	-
us-lax-wg-608.conf	23.168.216.127:51820	23.168.216.127	51820	23.168.216.127	293	-
us-lax-wg-701.conf	103.251.26.3:51820	103.251.26.3	51820	103.251.26.3	293	-
us-lax-wg-702.conf	103.251.26.127:51820	103.251.26.127	51820	103.251.26.127	292	-
us-lax-wg-703.conf	103.251.27.3:51820	103.251.27.3	51820	103.251.27.3	271	-
us-lax-wg-704.conf	103.251.27.127:51820	103.251.27.127	51820	103.251.27.127	318	-
us-mia-wg-001.conf	45.134.142.219:51820	45.134.142.219	51820	45.134.142.219	191	-
us-mia-wg-002.conf	45.134.142.206:51820	45.134.142.206	51820	45.134.142.206	190	-
us-mia-wg-003.conf	45.134.142.193:51820	45.134.142.193	51820	45.134.142.193	191	-
us-mia-wg-101.conf	146.70.187.2:51820	146.70.187.2	51820	146.70.187.2	191	-
us-mia-wg-102.conf	146.70.187.66:51820	146.70.187.66	51820	146.70.187.66	191	-
us-mia-wg-103.conf	146.70.187.130:51820	146.70.187.130	51820	146.70.187.130	192	-
us-mkc-wg-001.conf	23.234.116.3:51820	23.234.116.3	51820	23.234.116.3	191	-
us-mkc-wg-002.conf	23.234.116.127:51820	23.234.116.127	51820	23.234.116.127	190	-
us-mkc-wg-003.conf	23.234.117.3:51820	23.234.117.3	51820	23.234.117.3	191	-
us-mkc-wg-004.conf	23.234.117.127:51820	23.234.117.127	51820	23.234.117.127	190	-
us-mkc-wg-005.conf	23.234.118.3:51820	23.234.118.3	51820	23.234.118.3	193	-
us-mkc-wg-006.conf	23.234.118.127:51820	23.234.118.127	51820	23.234.118.127	192	-
us-mkc-wg-007.conf	23.234.119.3:51820	23.234.119.3	51820	23.234.119.3	191	-
us-mkc-wg-008.conf	23.234.119.127:51820	23.234.119.127	51820	23.234.119.127	191	-
us-mkc-wg-101.conf	155.2.191.3:51820	155.2.191.3	51820	155.2.191.3	193	-
us-mkc-wg-102.conf	155.2.191.53:51820	155.2.191.53	51820	155.2.191.53	189	-
us-mkc-wg-103.conf	155.2.191.103:51820	155.2.191.103	51820	155.2.191.103	190	-
us-mkc-wg-104.conf	155.2.191.153:51820	155.2.191.153	51820	155.2.191.153	190	-
us-mkc-wg-105.conf	155.2.191.203:51820	155.2.191.203	51820	155.2.191.203	293	-
us-nyc-wg-301.conf	143.244.47.65:51820	143.244.47.65	51820	143.244.47.65	182	-
us-nyc-wg-302.conf	143.244.47.78:51820	143.244.47.78	51820	143.244.47.78	199	-
us-nyc-wg-303.conf	143.244.47.91:51820	143.244.47.91	51820	143.244.47.91	190	-
us-nyc-wg-501.conf	146.70.165.2:51820	146.70.165.2	51820	146.70.165.2	191	-
us-nyc-wg-502.conf	146.70.165.130:51820	146.70.165.130	51820	146.70.165.130	148	-
us-nyc-wg-503.conf	146.70.165.194:51820	146.70.165.194	51820	146.70.165.194	147	-
us-nyc-wg-504.conf	146.70.166.130:51820	146.70.166.130	51820	146.70.166.130	177	-
us-nyc-wg-505.conf	146.70.166.194:51820	146.70.166.194	51820	146.70.166.194	191	-
us-nyc-wg-506.conf	146.70.165.66:51820	146.70.165.66	51820	146.70.165.66	149	-
us-nyc-wg-601.conf	146.70.185.2:51820	146.70.185.2	51820	146.70.185.2	232	-
us-nyc-wg-602.conf	146.70.168.130:51820	146.70.168.130	51820	146.70.168.130	191	-
us-nyc-wg-603.conf	146.70.168.66:51820	146.70.168.66	51820	146.70.168.66	191	-
us-nyc-wg-604.conf	146.70.171.66:51820	146.70.171.66	51820	146.70.171.66	191	-
us-nyc-wg-605.conf	146.70.171.130:51820	146.70.171.130	51820	146.70.171.130	190	-
us-nyc-wg-606.conf	146.70.168.194:51820	146.70.168.194	51820	146.70.168.194	190	-
us-nyc-wg-701.conf	23.162.8.3:51820	23.162.8.3	51820	23.162.8.3	191	-
us-nyc-wg-702.conf	23.162.8.67:51820	23.162.8.67	51820	23.162.8.67	191	-
us-nyc-wg-703.conf	23.162.8.130:51820	23.162.8.130	51820	23.162.8.130	191	-
us-nyc-wg-801.conf	23.234.100.3:51820	23.234.100.3	51820	23.234.100.3	191	-
us-nyc-wg-802.conf	23.234.100.127:51820	23.234.100.127	51820	23.234.100.127	191	-
us-nyc-wg-803.conf	23.234.101.3:51820	23.234.101.3	51820	23.234.101.3	191	-
us-nyc-wg-804.conf	23.234.101.127:51820	23.234.101.127	51820	23.234.101.127	190	-
us-nyc-wg-805.conf	23.234.102.3:51820	23.234.102.3	51820	23.234.102.3	195	-
us-nyc-wg-806.conf	23.234.102.127:51820	23.234.102.127	51820	23.234.102.127	187	-
us-nyc-wg-807.conf	23.234.103.3:51820	23.234.103.3	51820	23.234.103.3	191	-
us-nyc-wg-808.conf	23.234.103.127:51820	23.234.103.127	51820	23.234.103.127	191	-
us-phx-wg-201.conf	23.234.88.3:51820	23.234.88.3	51820	23.234.88.3	292	-
us-phx-wg-202.conf	23.234.88.127:51820	23.234.88.127	51820	23.234.88.127	292	-
us-phx-wg-203.conf	23.234.89.3:51820	23.234.89.3	51820	23.234.89.3	293	-
